Super---Ming,2020-12-06 00:19,#OneNote# #microsoft#  微软 难产…个人浅显的经验分享很好用的电子笔记本弄好久发现知乎不支持长图……是绝望的气息 ​
萌萌工科研究生,2020-02-28 15:41,外刊精读【经济学人】（the economist） 2020 .2.22期每日精读  《big tech‘s $2trillion bull on 》科技寡头的两万亿赛跑 段落 英译汉 In 2018 A new word entered Silicon Valley‘s lexicon[ˈleksɪkɑːn](字典)：“the tech—lash”，or the risk of a consumer and regulatory revolt agai ​  c
星星蛋仔,2020-02-27 22:01,打卡第一科继续努力鸭#Microsoft Office# 2 中山 ​
TennisLeo,2020-02-23 11:32,#Microsoft Edge# 新建标签页在“启示”模式下，突然凭空就给我增加了网址导航栏，还不能隐藏，更别说删除了这才一个多月，你就飘了？？？？ @微软市场活动 @微软Windows @Microsoft信仰中心 ​
DataInfographic,2020-02-22 23:00,#Microsoft Power BI 365# DAY363：发现用视频会议工具做培训也挺方便的，昨天用#Power BI# 做的简化的小程序商城数据源给团队讲了下建模的内容 ​
德克Decker,2020-02-21 16:00,微软edge浏览器终于更新了，把内核换了，好用了很多，现在手机和电脑上都用它！#Microsoft Edge浏览器# ​
暴富就是我的新年愿望,2020-02-21 11:46,#Microsoft Edge# 吹爆了 太特么好用了 尤其是对开发者太友好 怎能不爱 ​
刘德杰RockyLau,2020-02-20 14:46,生产力进一步提升#Microsoft Office# ​
啊哈哈冰淇淋小仙女,2020-02-20 09:58,#Microsoft Office# 真香 ​
猫九姑娘在胡同小巷呢,2020-02-20 09:05,"#Microsoft Office# wps可以让位了，AppStore终于上架了📘📗📒📕,但是目前搜不到 ​"
Lingpro,2020-02-20 01:00,有#Microsoft Office# 要啥wps和扫描王啊，可我还一直以为ISO不能用 微软 、好笨啊 ​
上将豪_iDarren,2020-02-19 18:02,看到#Windows 10X# 的模拟器和产品宣传图，觉得如果真的有搭载新系统并具备这样的折叠双屏ID设计的#surface# （Surface Neo和Surface Duo感觉还差点意思），那将是继#Microsoft Surface Studio# 之后，个人认为在工业设计领域狂甩苹果的第二款产品。 ​​​
xiangxiang_19,2020-02-19 16:41,刚更新了word，竟然有了听写功能，666试了下准确率不错～ #Microsoft Word听写功能# L xiangxiang_19的微博视频 ​
DataInfographic,2020-02-17 10:33,#Microsoft Power BI 365# DAY362：完成了相对复杂的参数化的工作，动态指标加动态次坐标 ​
SapphireShen,2020-02-15 22:48,#Microsoft# 的浪漫～ 2 太原 ​
瞿之棠,2020-02-13 22:27,#Windows10X# 揭开Windows10X的面纱我们可能见到了一些笔记本键盘上出现一块小屏幕，但这是双屏笔记本发展的开始，微软抓住了这个思路，Windows10X是配合双屏设备出现的一个产物，但它的双屏可并不是现版Win10多屏幕那样简单。举个例子，当你将磁吸键盘放到一块屏幕上后，除了会在另一块屏幕显示主体 ​  c
SecreT55GardEN,2020-02-08 18:16,#Microsoft Teams# 我只能说微软这款office产品太鸡肋了，每次都给我搞个自动登录，想改个设置window账户又登录不了，对于中国用户  协同办公软件已经有了强大又免费的腾讯了好吗 ​
PixelExperience,2020-02-05 10:06,#Windows 10# #Microsoft Edge# 不知道是不是微软工作重心都转移到了Chromium版Edge上，最近几个版本的旧版Edge都闪退，从正式版的1909到最新的预览版19551都是点开就闪退 ​
又双叒叕改名0-0,2020-02-04 13:48,#Microsoft Edge# #Chrome# Chrome打开pdf文件一直字体不对，所以尝试了下新版Edge，结果edge打不开自己的应用市场，Chrome可以·你品，你细品 ​
叶檀,2020-02-27 21:13,自动避险，雪崩就是那么容易！//@幽灵礼物 :道指出现崩溃式下跌，得益于电脑自动抛售，ETF组合砸盘，比人工下单要利索
幽灵礼物,2020-02-27 21:13, 美股 美股盘前及欧洲市场。比利时彻底崩溃，欧洲股市暴跌。美股盘前：美股三大指数继续下挫，#特斯拉# 领跌  #微软# 大跌 ​
Microsoft大爆炸,2020-02-29 14:24,#今天不发朋友圈又得等四年# 四年后会是同样的下场么#微软# ​
燕山派,2020-10-03 07:20,#微软首款折叠屏手机# 昨晚微软发布会最大的亮点应该就是这货了，微软2020年要上市Surface Duo双屏手机（图1-3），很多人把它叫折叠屏手机，其实个人觉得应该叫翻屏手机或者双屏折叠手机，因为它的屏幕不是柔性可折叠的，而是配的两块屏，靠铰链翻转而已。而且这种设计其实早在2012年就有了，对，你 ​  c
河洛君,2020-02-29 15:40,#科技的温度# 【Facebook因冠状病毒担忧而取消F8】#Facebook# 已经确认，由于对新冠状病毒大流行的担忧日益加剧，已取消了其年度F8开发者大会。更具体地说，该公司表示正在取消“面对面的内容”-在F8的保护下，仍然可能会有视频演示以及直播和本地事件。同时，出于类似的考虑，包括#微软# 在内的公司也退 ​  c
Mango国,2020-02-29 13:54,#微软# 量子影响：教授下一代量子Quantum Impact- Teaching the next generation of quantum  L Mango国的微博视频 ​
小琪小琪不會下棋_,2020-02-29 11:16,我也不知道我为什么非得作死购买office 而不用WPS（买了后绝不后悔）我真是憨憨从来没用过surface的画图功能强烈推荐one note真的太好用了！！！（我真的是才知道有这个软件…）现在就等我的surface触控笔来了🉑#微软# #surface pro# ​
Repubblicca,2020-02-29 10:58,根据Windows Central的Zac Bowden最新的一篇报道，Surface Dduo的发布时间最早可在今年夏天。#微软# 可能会在春季的硬件发布会上宣布新产品的到来，另外它还可能会发布Surface Book 3和#Surface Go 2# 。 ​
GPLPCN,2020-02-28 19:06,【#微软# 、#索尼# 等因新冠病毒 集体退出#游戏开发者大会# 】据悉，按计划，游戏开发者大会（#GDC# ）将于3月16-20日在美国旧金山举行，虽然主办方坚称游戏开发者大会（GDC）将“如期举行”，但出于对新型冠状病毒国际性暴发的担忧，许多知名游戏公司宣布退出大会。在会议前几周，索尼、艺电、Facebo ​  c
四月不是我的谎言丫,2020-02-28 16:53,#微软# @微软中国 请问一下，我的微软账户登不上去，我的所有office，账户都显示无法连接网络，登不上去电脑是surface  go. 有人懂吗？救救孩子，要开始上网课了 ​
河洛君,2020-02-28 16:42,#科技的温度# 【微软因担忧冠状病毒退出GDC游戏会议】Xbox制造商#微软# 今天宣布，它将不会参加今年在旧金山举行的游戏开发者大会，这凸显出人们对冠状病毒爆发的担忧。公司表示：经过全球卫生当局对指南的仔细审查，并出于谨慎考虑，我们做出了艰难的决定，退出参加2020年旧金山游戏开发者大会的决定 ​  c
朕是猫猫,2020-02-26 19:00,#微软# Microsoft  Surface  Pro  i5（好像是忘记了相机一直显示不了我就按照指示一顿操作之后把camera设备给删了🙉我该怎么办🙉救个猫 ​
